"component","origin","license","copyright"
"golang.org/x/mod","https://golang.org/x/mod","['BSD-3-Clause AND LicenseRef-scancode-google-patent-license-golang']","['The Go Authors']"
"golang.org/x/net","https://golang.org/x/net","['BSD-3-Clause AND LicenseRef-scancode-google-patent-license-golang']","['Apple Inc.', 'The Go Authors', 'cc.fr']"
"golang.org/x/sync","https://golang.org/x/sync","['BSD-3-Clause AND LicenseRef-scancode-google-patent-license-golang']","['The Go Authors']"
"golang.org/x/sys","https://golang.org/x/sys","['BSD-3-Clause AND LicenseRef-scancode-google-patent-license-golang']","['The Go Authors']"
"golang.org/x/text","https://golang.org/x/text","['BSD-3-Clause AND LicenseRef-scancode-google-patent-license-golang']","['1/4', ""?i'U CY A$?A CO"", 'A', 'AAEE', 'AeHa', 'EAiE A', 'EeAoq', 'The Go Authors', 'aA""AE 1AE', 'lEEe AE', 'oav!A AY']"
"golang.org/x/time","https://golang.org/x/time","['BSD-3-Clause AND LicenseRef-scancode-google-patent-license-golang']","['The Go Authors']"
"golang.org/x/xerrors","https://golang.org/x/xerrors","['BSD-3-Clause AND LicenseRef-scancode-google-patent-license-golang']","['The Go Authors']"
"google.golang.org/genproto/googleapis/rpc","https://google.golang.org/genproto/googleapis/rpc","['Apache-2.0']","['Google LLC']"
"google.golang.org/grpc","https://google.golang.org/grpc","['Apache-2.0']","['The gRPC Authors', 'gRPC']"
"google.golang.org/protobuf","https://google.golang.org/protobuf","['BSD-3-Clause AND LicenseRef-scancode-google-patent-license-golang']","['Google Inc.', 'The Go Authors', 'd d d d Google Inc', 'd d d d The Go Authors']"
"gopd","gopd","['MIT']","['Jordan Harband']"
"gopkg.in/ini.v1","https://gopkg.in/ini.v1","['Apache-2.0']","['Unknwon']"
"gopkg.in/yaml.v3","https://gopkg.in/yaml.v3","['Apache-2.0']","['Canonical Ltd', 'Canonical Ltd.', 'Kirill Simonov']"
"gorm.io/driver/postgres","https://gorm.io/driver/postgres","['MIT']","['Jinzhu']"
"gorm.io/gorm","https://gorm.io/gorm","['MIT']","['Jinzhu <wosmvp@gmail.com>']"
"graceful-fs","graceful-fs","['ISC']","['Ben Noordhuis', 'Isaac Z. Schlueter', 'and Contributors']"
"has-flag","has-flag","['MIT']","['Sindre Sorhus (https://sindresorhus.com)', 'Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)']"
"has-symbols","has-symbols","['MIT']","['Jordan Harband']"
"hasown","hasown","['MIT']","['Jordan Harband and contributors']"
"helmet","helmet","['MIT']","['Adam Baldwin', 'Evan Hahn']"
"hoist-non-react-statics","hoist-non-react-statics","['BSD-3-Clause']","['Yahoo! Inc.']"
"html-escaper","html-escaper","['MIT']","['by Andrea Giammarchi']"
"http-errors","http-errors","['MIT']","['Douglas Christopher Wilson', 'Douglas Christopher Wilson doug@somethingdoug.com', 'Jonathan Ong', 'Jonathan Ong me@jongleberry.com']"
"human-signals","human-signals","['Apache-2.0']","['ehmicky <ehmicky@gmail.com>']"
"iconv-lite","iconv-lite","['MIT']","['Alexander Shtuchkin', 'Microsoft Corporation']"
"ignore","ignore","['MIT']","['Kael Zhang <i@kael.me>', 'contributors http://kael.me']"
"import-fresh","import-fresh","['MIT']","['Sindre Sorhus <sindresorhus@gmail.com> (https://sindresorhus.com)']"
"import-in-the-middle","import-in-the-middle","['Apache-2.0 AND MIT']","['Bryan English', 'Contributors', 'Datadog', 'Inc.', 'Node.js contributors']"
"import-local","import-local","['MIT']","['Sindre Sorhus <sindresorhus@gmail.com> (https://sindresorhus.com)']"
"imurmurhash","imurmurhash","['MIT']","['Gary Court', 'Jens Taylor']"
"inflight","inflight","['ISC']","['Isaac Z. Schlueter']"
"inherits","inherits","['ISC']","['Isaac Z. Schlueter']"
"io.quarkiverse.amazonservices:quarkus-amazon-s3","https://github.com/quarkiverse/quarkus-amazon-services","['Apache-2.0']","['Quarkiverse contributors']"
"io.quarkiverse.loggingjson:quarkus-logging-json","https://github.com/quarkiverse/quarkus-logging-json","['Apache-2.0']","['Quarkiverse contributors']"
"io.quarkus.platform:quarkus-amazon-services-bom","https://github.com/quarkiverse/quarkus-amazon-services","['Apache-2.0']","['Quarkiverse contributors']"
"io.quarkus.platform:quarkus-bom","https://github.com/quarkusio/quarkus-platform","['Apache-2.0']","['Quarkus Community']"
"io.quarkus.platform:quarkus-maven-plugin","https://github.com/quarkusio/quarkus-platform","['Apache-2.0']","['Quarkus Community']"
"io.quarkus:quarkus-arc","io.quarkus:quarkus-arc","[]","[]"
"io.quarkus:quarkus-flyway","https://github.com/quarkusio/quarkus","['Apache-2.0']","['Quarkus Community']"
"io.quarkus:quarkus-hibernate-orm","https://github.com/quarkusio/quarkus","['Apache-2.0']","['Quarkus Community']"
"io.quarkus:quarkus-hibernate-orm-panache","https://github.com/quarkusio/quarkus","['Apache-2.0']","['Quarkus Community']"
"io.quarkus:quarkus-jdbc-postgresql","https://github.com/quarkusio/quarkus","['Apache-2.0']","['Quarkus Community']"
"io.quarkus:quarkus-junit5","https://github.com/quarkusio/quarkus","['Apache-2.0']","['Quarkus Community']"
"io.quarkus:quarkus-junit5-mockito","https://github.com/quarkusio/quarkus","['Apache-2.0']","['Quarkus Community']"
"io.quarkus:quarkus-messaging-kafka","https://github.com/quarkusio/quarkus","['Apache-2.0']","['Quarkus Community']"
"io.quarkus:quarkus-opentelemetry","https://github.com/quarkusio/quarkus","['Apache-2.0']","['Quarkus Community']"
"io.quarkus:quarkus-rest","https://github.com/quarkusio/quarkus","['Apache-2.0']","['Quarkus Community']"
"io.quarkus:quarkus-rest-jackson","https://github.com/quarkusio/quarkus","['Apache-2.0']","['Quarkus Community']"
"io.quarkus:quarkus-smallrye-openapi","https://github.com/quarkusio/quarkus","['Apache-2.0']","['Quarkus Community']"
"io.rest-assured:rest-assured","https://github.com/rest-assured/rest-assured","['Apache-2.0']","['Johan Haleby']"
"ipaddr.js","ipaddr.js","['MIT']","['whitequark <whitequark@whitequark.org>']"
"is-arrayish","is-arrayish","['MIT']","['JD Ballard']"
"is-core-module","is-core-module","['MIT']","['Dave Justice']"
"is-extglob","is-extglob","['MIT']","['Jon Schlinkert', 'Jon Schlinkert (https://github.com/jonschlinkert)']"
"is-fullwidth-code-point","is-fullwidth-code-point","['MIT']","['Sindre Sorhus (https://sindresorhus.com)', 'Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)']"
"is-generator-fn","is-generator-fn","['MIT']","['Sindre Sorhus (https://sindresorhus.com)', 'Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)']"
"is-glob","is-glob","['MIT']","['Jon Schlinkert', 'Jon Schlinkert (https://github.com/jonschlinkert)']"
"is-number","is-number","['MIT']","['Jon Schlinkert', 'Jon Schlinkert (https://github.com/jonschlinkert)']"
"is-promise","is-promise","['MIT']","['Forbes Lindesay']"
"is-stream","is-stream","['MIT']","['Sindre Sorhus <sindresorhus@gmail.com> (https://sindresorhus.com)']"
"isexe","isexe","['ISC']","['Isaac Z. Schlueter and Contributors']"
"istanbul-lib-coverage","istanbul-lib-coverage","['BSD-3-Clause']","['Yahoo Inc.', 'Yahoo Inc. s', 'Yahoo! Inc.']"
"istanbul-lib-instrument","istanbul-lib-instrument","['BSD-3-Clause']","['Yahoo Inc.', 'Yahoo Inc. s', 'Yahoo! Inc.']"
"istanbul-lib-report","istanbul-lib-report","['BSD-3-Clause']","['Yahoo Inc.', 'Yahoo Inc. s', 'Yahoo! Inc.']"
"istanbul-lib-source-maps","istanbul-lib-source-maps","['BSD-3-Clause']","['Yahoo Inc.', 'Yahoo Inc. s', 'Yahoo! Inc.']"
"istanbul-reports","istanbul-reports","['BSD-3-Clause']","['Facebook', 'Inc. and its affiliates', 'Sindre Sorhus', 'Yahoo Inc.', 'Yahoo Inc. s', 'Yahoo! Inc.']"
"jake","jake","['Apache-2.0']","[]"
"jest","jest","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"jest-changed-files","jest-changed-files","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"jest-circus","jest-circus","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"jest-cli","jest-cli","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"jest-config","jest-config","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"jest-diff","jest-diff","['MIT']","['Inc. and affiliates', 'Meta Platforms', 'The diff-match-patch']"
"jest-docblock","jest-docblock","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"jest-each","jest-each","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"jest-environment-node","jest-environment-node","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"jest-get-type","jest-get-type","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"jest-haste-map","jest-haste-map","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"jest-leak-detector","jest-leak-detector","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"jest-matcher-utils","jest-matcher-utils","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"jest-message-util","jest-message-util","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"jest-mock","jest-mock","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"jest-pnp-resolver","jest-pnp-resolver","['MIT']","['Mael Nison']"
"jest-regex-util","jest-regex-util","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"jest-resolve","jest-resolve","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"jest-resolve-dependencies","jest-resolve-dependencies","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"jest-runner","jest-runner","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"jest-runtime","jest-runtime","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"jest-snapshot","jest-snapshot","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"jest-util","jest-util","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"jest-validate","jest-validate","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"jest-watcher","jest-watcher","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"jest-worker","jest-worker","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"jiti","jiti","['MIT']","['Facebook', 'Inc.', 'Pooya Parsa <pooya@pi0.io>']"
"jose","jose","['MIT']","['Filip Skokan']"
"js-tokens","js-tokens","['MIT']","['Simon Lydell']"
"js-yaml","js-yaml","['MIT']","['by Vitaly Puzrin']"
"jsep","jsep","['MIT']","['Stephen Oney', 'https://ericsmekens.github.io/jsep']"
"jsesc","jsesc","['MIT']","['Mathias Bynens <https://mathiasbynens.be/>']"
"json-buffer","json-buffer","['MIT']","['Dominic Tarr']"
"json-parse-even-better-errors","json-parse-even-better-errors","['MIT']","['Inc.', 'Kat Marchan', 'npm']"
"json-schema-traverse","json-schema-traverse","['MIT']","['Evgeny Poberezkin']"
"json-stable-stringify-without-jsonify","json-stable-stringify-without-jsonify","['MIT']","[]"
"json5","json5","['MIT']","['Aseem Kishore', 'Denis Pushkarev', 'and others']"
"jsonfile","jsonfile","['MIT']","['JP Richardson <jprichardson@gmail.com>']"
"jsonpath-plus","jsonpath-plus","['MIT']","['Brett Zamir', 'Mike Brevoort', 'Richard Schneider', 'Robert Krahn', 'Stefan Goessner', 'Subbu Allamaraju']"
"jsonschema","jsonschema","['MIT']","['Tom']"
"keyv","keyv","['MIT']","['Jared Wray']"
"kleur","kleur","['MIT']","['Luke Edwards (https://lukeed.com)', 'Luke Edwards <luke.edwards05@gmail.com> (lukeed.com)']"
"koalas","koalas","['MIT']","['Brian Woodward', 'Brian Woodward (https://github.com/doowb)', 'Brian Woodward (https://github.com/doowb).']"
"leven","leven","['MIT']","['Sindre Sorhus (https://sindresorhus.com)', 'Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)']"
"levn","levn","['MIT']","['George Zahariev']"
"lightningcss","lightningcss","['MPL-2.0']","[]"
"lightningcss-darwin-arm64","lightningcss-darwin-arm64","['MPL-2.0']","[]"
"lightningcss-darwin-x64","lightningcss-darwin-x64","['MPL-2.0']","[]"
"lightningcss-freebsd-x64","lightningcss-freebsd-x64","['MPL-2.0']","[]"
"lightningcss-linux-arm-gnueabihf","lightningcss-linux-arm-gnueabihf","['MPL-2.0']","[]"
"lightningcss-linux-arm64-gnu","lightningcss-linux-arm64-gnu","['MPL-2.0']","[]"
"lightningcss-linux-arm64-musl","lightningcss-linux-arm64-musl","['MPL-2.0']","[]"
"lightningcss-linux-x64-gnu","lightningcss-linux-x64-gnu","['MPL-2.0']","[]"
"lightningcss-linux-x64-musl","lightningcss-linux-x64-musl","['MPL-2.0']","[]"
"lightningcss-win32-arm64-msvc","lightningcss-win32-arm64-msvc","['MPL-2.0']","[]"
"lightningcss-win32-x64-msvc","lightningcss-win32-x64-msvc","['MPL-2.0']","[]"
"limiter","limiter","['MIT']","['John Hurliman. <jhurliman@jhurliman.org>', 'by John Hurliman']"
"lines-and-columns","lines-and-columns","['MIT']","['Brian Donovan']"
"locate-path","locate-path","['MIT']","['Sindre Sorhus (https://sindresorhus.com)', 'Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)']"
"lodash.memoize","lodash.memoize","['MIT']","['DocumentCloud and Investigative Reporters & Editors', 'DocumentCloud and Investigative Reporters & Editors <http://underscorejs.org/>', 'Jeremy Ashkenas', 'jQuery Foundation and other contributors <https://jquery.org/>']"
"lodash.merge","lodash.merge","['MIT']","['DocumentCloud and Investigative Reporters & Editors', 'DocumentCloud and Investigative Reporters & Editors <http://underscorejs.org/>', 'Jeremy Ashkenas', 'OpenJS Foundation and other contributors <https://openjsf.org/>']"
"lodash.sortby","lodash.sortby","['MIT']","['DocumentCloud and Investigative Reporters & Editors', 'DocumentCloud and Investigative Reporters & Editors <http://underscorejs.org/>', 'Jeremy Ashkenas', 'jQuery Foundation and other contributors <https://jquery.org/>']"
"lodash.truncate","lodash.truncate","['MIT']","['DocumentCloud and Investigative Reporters & Editors', 'DocumentCloud and Investigative Reporters & Editors <http://underscorejs.org/>', 'Jeremy Ashkenas', 'jQuery Foundation and other contributors <https://jquery.org/>']"
"loglevel","loglevel","['MIT']","['Tim Perry']"
"long","long","['Apache-2.0']","['Daniel Wirtz', 'The Closure', 'The Closure Library Authors']"
"loose-envify","loose-envify","['MIT']","['Andres Suarez <zertosh@gmail.com>']"
"lru-cache","lru-cache","['ISC']","['Isaac Z. Schlueter and Contributors']"
"lusca","lusca","['Apache-2.0']","['PayPal']"
"magic-string","magic-string","['MIT']","['Rich Harris']"
"make-dir","make-dir","['MIT']","['Sindre Sorhus <sindresorhus@gmail.com> (https://sindresorhus.com)']"
"make-error","make-error","['ISC']","['Julien Fontanet', 'Julien Fontanet (http://julien.isonoe.net)']"
"makeerror","makeerror","['BSD-3-Clause']","['Naitik Shah', 'Naitik Shah.']"
"math-intrinsics","math-intrinsics","['MIT']","['ECMAScript Shims']"
"media-typer","media-typer","['MIT']","['Douglas Christopher Wilson']"
"merge-descriptors","merge-descriptors","['MIT']","['Douglas Christopher Wilson <doug@somethingdoug.com>', 'Jonathan Ong <me@jongleberry.com>', 'Sindre Sorhus <sindresorhus@gmail.com> (https://sindresorhus.com)']"
"merge-stream","merge-stream","['MIT']","['Stephen Sugden <me@stephensugden.com> (stephensugden.com)']"
"micromatch","micromatch","['MIT']","['Jon Schlinkert', 'Jon Schlinkert (https://github.com/jonschlinkert)']"
"mime-db","mime-db","['MIT']","['Douglas Christopher Wilson', 'Douglas Christopher Wilson <doug@somethingdoug.com>', 'Jonathan Ong', 'Jonathan Ong <me@jongleberry.com>']"
"mime-types","mime-types","['MIT']","['Douglas Christopher Wilson', 'Douglas Christopher Wilson <doug@somethingdoug.com>', 'Jonathan Ong', 'Jonathan Ong <me@jongleberry.com>']"
"mimic-fn","mimic-fn","['MIT']","['Sindre Sorhus (https://sindresorhus.com)', 'Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)']"
"minimatch","minimatch","['ISC']","['Isaac Z. Schlueter and Contributors']"
"minipass","minipass","['ISC']","['Inc.', 'Isaac Z. Schlueter', 'and Contributors', 'npm']"
"minizlib","minizlib","['MIT']","['Inc. and other Node contributors', 'Isaac Z. Schlueter and Contributors', 'Joyent', 'Node.js contributors']"
"mkdirp","mkdirp","['MIT']","['James Halliday (mail@substack.net) and Isaac Z. Schlueter (i@izs.me)']"
"module-details-from-path","module-details-from-path","['MIT']","['Thomas Watson Steen']"
"ms","ms","['MIT']","['Inc.', 'Vercel']"
"mutexify","mutexify","['MIT']","['Mathias Buus']"
"nanoid","nanoid","['MIT']","['Andrey Sitnik <andrey@sitnik.ru>']"
"natural-compare","natural-compare","['MIT']","['Lauri Rooden <lauri@rooden.ee>']"
"negotiator","negotiator","['MIT']","['Douglas Christopher Wilson', 'Federico Romero', 'Isaac Z. Schlueter']"
"node-addon-api","node-addon-api","['MIT']","['Node.js']"
"node-gyp-build","node-gyp-build","['MIT']","['Mathias Buus']"
"node-int64","node-int64","['MIT']","['Robert Kieffer']"
"node-releases","node-releases","['MIT']","['Sergey Rubanov (https://github.com/chicoxyzzy)']"
"normalize-path","normalize-path","['MIT']","['Jon Schlinkert', 'Jon Schlinkert (https://github.com/jonschlinkert)']"
"npm-run-path","npm-run-path","['MIT']","['Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)']"
"object-assign","object-assign","['MIT']","['Sindre Sorhus', 'Sindre Sorhus (https://sindresorhus.com)', 'Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)']"
"object-hash","object-hash","['MIT']","['object-hash contributors']"
"object-inspect","object-inspect","['MIT']","['James Halliday']"
"oidc-token-hash","oidc-token-hash","['MIT']","['Filip Skokan']"
"on-finished","on-finished","['MIT']","['Douglas Christopher Wilson', 'Douglas Christopher Wilson <doug@somethingdoug.com>', 'Jonathan Ong', 'Jonathan Ong <me@jongleberry.com>']"
"on-headers","on-headers","['MIT']","['Douglas Christopher Wilson']"
"once","once","['ISC']","['Isaac Z. Schlueter and Contributors']"
"onetime","onetime","['MIT']","['Sindre Sorhus <sindresorhus@gmail.com> (https://sindresorhus.com)']"
"openid-client","openid-client","['MIT']","['Filip Skokan']"
"opentracing","opentracing","['Apache-2.0']","[]"
"optionator","optionator","['MIT']","['George Zahariev']"
"org.apache.maven.plugins:maven-compiler-plugin","org.apache.maven.plugins:maven-compiler-plugin","['Apache-2.0 AND BSD-3-Clause AND MIT']","['The Apache Software Foundation']"
"org.awaitility:awaitility","https://github.com/awaitility/awaitility","['Apache-2.0']","['Johan Haleby']"
"org.mockito:mockito-core","https://github.com/mockito/mockito","['MIT']","['Mockito contributors']"
"p-limit","p-limit","['MIT']","['Sindre Sorhus <sindresorhus@gmail.com> (https://sindresorhus.com)']"
"p-locate","p-locate","['MIT']","['Sindre Sorhus (https://sindresorhus.com)', 'Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)']"
"p-try","p-try","['MIT']","['Sindre Sorhus (https://sindresorhus.com)', 'Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)']"
"parent-module","parent-module","['MIT']","['Sindre Sorhus (https://sindresorhus.com)', 'Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)']"
"parse-json","parse-json","['MIT']","['Sindre Sorhus <sindresorhus@gmail.com> (https://sindresorhus.com)']"
"parseurl","parseurl","['MIT']","['Douglas Christopher Wilson', 'Douglas Christopher Wilson <doug@somethingdoug.com>', 'Jonathan Ong', 'Jonathan Ong <me@jongleberry.com>']"
"path-exists","path-exists","['MIT']","['Sindre Sorhus (https://sindresorhus.com)', 'Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)']"
"path-is-absolute","path-is-absolute","['MIT']","['Sindre Sorhus (https://sindresorhus.com)', 'Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)']"
"path-key","path-key","['MIT']","['Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)']"
"path-parse","path-parse","['MIT']","['Javier Blanco', 'Javier Blanco (http://jbgutierrez.info)']"
"path-to-regexp","path-to-regexp","['MIT']","['Blake Embrey (hello@blakeembrey.com)']"
"path-type","path-type","['MIT']","['Sindre Sorhus (https://sindresorhus.com)', 'Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)']"
"picocolors","picocolors","['ISC']","['Anton Verinov', 'Kostiantyn Denysov', 'Oleksii Raspopov']"
"picomatch","picomatch","['MIT']","['Jon Schlinkert', 'Jon Schlinkert (https://github.com/jonschlinkert)']"
"pirates","pirates","['MIT']","['Ari Porad', 'Ari Porad (@ariporad) <http://ariporad.com>']"
"pkg-dir","pkg-dir","['MIT']","['Sindre Sorhus (https://sindresorhus.com)', 'Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)']"
"postcss","postcss","['MIT']","['Andrey Sitnik <andrey@sitnik.ru>']"
"pprof-format","pprof-format","['MIT']","['DataDog Inc. <info@datadoghq.com>', 'Datadog', 'Inc.']"
"prelude-ls","prelude-ls","['MIT']","['George Zahariev']"
"pretty-format","pretty-format","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"prompts","prompts","['MIT']","['Terkel Gjervig (https://terkel.com)', 'Terkel Gjervig Nielsen']"
"prop-types","prop-types","['MIT']","['Facebook', 'Inc.', 'Inc. and its affiliates', 'Sindre Sorhus']"
"protobufjs","protobufjs","['BSD-3-Clause AND LicenseRef-scancode-protobuf']","['Daniel Wirtz', 'Google Inc.', 'daniel wirtz']"
"proxy-addr","proxy-addr","['MIT']","['Douglas Christopher Wilson']"
"punycode","punycode","['MIT']","['Mathias Bynens <https://mathiasbynens.be/>']"
"pure-rand","pure-rand","['MIT']","['Nicolas DUBIEN']"
"qs","qs","['BSD-3-Clause']","['Nathan LaFreniere and other contributors (https://github.com/ljharb/qs/graphs/contributors)']"
"queue-tick","queue-tick","['MIT']","['Mathias Buus']"
"random-bytes","random-bytes","['MIT']","['Douglas Christopher Wilson', 'Douglas Christopher Wilson <doug@somethingdoug.com>']"
"range-parser","range-parser","['MIT']","['Douglas Christopher Wilson', 'Douglas Christopher Wilson doug@somethingdoug.com', 'TJ Holowaychuk', 'TJ Holowaychuk <tj@vision-media.ca>']"
"raw-body","raw-body","['MIT']","['Douglas Christopher Wilson', 'Douglas Christopher Wilson <doug@somethingdoug.com>', 'Jonathan Ong', 'Jonathan Ong <me@jongleberry.com>']"
"react","react","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"react-dom","react-dom","['MIT']","['Gary Court', 'Inc. and affiliates', 'Meta Platforms']"
"react-is","react-is","['MIT']","['Facebook', 'Inc. and its affiliates']"
"react-refresh","react-refresh","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"react-router","react-router","['MIT']","['React Training LLC', 'Remix Software Inc.', 'Shopify Inc.']"
"react-transition-group","react-transition-group","['BSD-3-Clause']","['Facebook', 'Inc.', 'Inc. and its affiliates', 'React Community Forked from React (https://github.com/facebook/react)', 'Sindre Sorhus']"
"require-directory","require-directory","['MIT']","['Troy Goode <troygoode@gmail.com>']"
"require-from-string","require-from-string","['MIT']","['Vsevolod Strukchinsky (http://github.com/floatdrop)', 'Vsevolod Strukchinsky <floatdrop@gmail.com>']"
"resolve","resolve","['MIT']","['James Halliday']"
"resolve-cwd","resolve-cwd","['MIT']","['Sindre Sorhus (https://sindresorhus.com)', 'Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)']"
"resolve-from","resolve-from","['MIT']","['Sindre Sorhus (https://sindresorhus.com)', 'Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)']"
"resolve.exports","resolve.exports","['MIT']","['Luke Edwards (https://lukeed.com)', 'Luke Edwards <luke.edwards05@gmail.com> (lukeed.com)']"
"retry","retry","['MIT']","['Tim Koschutzki (tim@debuggable.com) Felix Geisendorfer (felix@debuggable.com)']"
"rfdc","rfdc","['MIT']","['David Mark Clements <david.mark.clements@gmail.com>']"
"rollup","rollup","['0BSD AND ISC AND MIT']","['Anton Verinov', 'Benjamin Coe', 'Contributors', 'Elan Shanker', 'Isaac Z. Schlueter', 'Jon Schlinkert', 'Justin Ridgewell <justin@ridgewell.name>', 'Kostiantyn Denysov', 'Luke Edwards <luke.edwards05@gmail.com> (lukeed.com)', 'Microsoft Corporation', 'Oleksii Raspopov', 'Paul Miller (https://paulmillr.com)', 'Rich Harris', 'RollupJS Plugin Contributors (https://github.com/rollup/plugins/graphs/contributors)', 'Sindre Sorhus <sindresorhus@gmail.com> (https://sindresorhus.com)', 'Thorsten Lorenz', 'and Contributors', 'these people (https://github.com/rollup/rollup/graphs/contributors)']"
"router","router","['MIT']","['Douglas Christopher Wilson', 'Roman Shtylman']"
"safe-buffer","safe-buffer","['MIT']","['Feross Aboukhadijeh', 'Feross Aboukhadijeh (http://feross.org)']"
"safer-buffer","safer-buffer","['MIT']","['Nikita Skovoroda <chalkerx@gmail.com>']"
"scheduler","scheduler","['MIT']","['Inc. and affiliates', 'Meta Platforms']"
"semifies","semifies","['Apache-2.0']","[]"
"semver","semver","['ISC']","['Isaac Z. Schlueter', 'Isaac Z. Schlueter and Contributors']"
"send","send","['MIT']","['Douglas Christopher Wilson', 'TJ Holowaychuk']"
"serve-static","serve-static","['MIT']","['Douglas Christopher Wilson', 'LearnBoost', 'Sencha Inc.', 'TJ Holowaychuk']"
"set-cookie-parser","set-cookie-parser","['MIT']","['Nathan Friedly (http://www.nfriedly.com/)', 'Nathan Friedly <nathan@nfriedly.com> (http://nfriedly.com/)']"
"setprototypeof","setprototypeof","['ISC']","['Wes Todd']"
"shebang-command","shebang-command","['MIT']","['Kevin Martensson <kevinmartensson@gmail.com>']"
"shebang-regex","shebang-regex","['MIT']","['Sindre Sorhus (https://sindresorhus.com)', 'Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)']"
"shell-quote","shell-quote","['MIT']","['James Halliday (mail@substack.net)']"
"side-channel","side-channel","['MIT']","['Jordan Harband']"
"side-channel-list","side-channel-list","['MIT']","['Jordan Harband']"
"side-channel-map","side-channel-map","['MIT']","['Jordan Harband']"
"side-channel-weakmap","side-channel-weakmap","['MIT']","['Jordan Harband']"
"signal-exit","signal-exit","['ISC']","['Contributors']"
"sisteransi","sisteransi","['MIT']","['Terkel Gjervig (https://terkel.com)', 'Terkel Gjervig Nielsen']"
"slash","slash","['MIT']","['Sindre Sorhus (https://sindresorhus.com)', 'Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)']"
"slice-ansi","slice-ansi","['MIT']","['DC', 'Sindre Sorhus <sindresorhus@gmail.com> (https://sindresorhus.com)']"
"software.amazon.awssdk:url-connection-client","https://github.com/aws/aws-sdk-java-v2","['Apache-2.0']","['Amazon.com', 'Inc. or its affiliates.']"
"source-map","source-map","['BSD-3-Clause']","['Mozilla Foundation and contributors', 'The Closure Compiler Authors']"
"source-map-js","source-map-js","['BSD-3-Clause']","['Mozilla Foundation and contributors', 'The Closure Compiler Authors']"
"source-map-support","source-map-support","['MIT']","['Evan Wallace']"
"sprintf-js","sprintf-js","['BSD-3-Clause']","['Alexandru Marasteanu']"
"stack-utils","stack-utils","['MIT']","['Isaac Z. Schlueter (http://github.com/isaacs)', 'Isaac Z. Schlueter <i@izs.me>', 'James Talmage (http://github.com/jamestalmage)', 'James Talmage <james@talmage.io> (github.com/jamestalmage)', 'and Contributors']"
"statuses","statuses","['MIT']","['Douglas Christopher Wilson', 'Douglas Christopher Wilson <doug@somethingdoug.com>', 'Jonathan Ong', 'Jonathan Ong <me@jongleberry.com>']"
"string-length","string-length","['MIT']","['Sindre Sorhus <sindresorhus@gmail.com> (https://sindresorhus.com)']"
"string-width","string-width","['MIT']","['Sindre Sorhus <sindresorhus@gmail.com> (sindresorhus.com)']"
